iteration, error-x, error-z, time, Px-term, Ix-term, Dx-term,Pz-term, Iz-term, Dz-term, left PWM, right PWM
1, -42.75,0.26476970681095446,0.4913926124572754, -2.565, -0.0, -8.55, 0.26476970681095446,0.0, 1.3238485340547723, 0.0, 1.5886182408657268
2, -42.5,0.2278968363894338,0.02605295181274414, -2.55, -0.0, 0.05, 0.2278968363894338,0.0, -0.18436435210760327, 0.0, 1.6321507251475573
3, -41.25,0.2651307528778397,0.021143198013305664, -2.475, -0.0, 0.25, 0.2651307528778397,0.0, 0.18616958244202952, 0.0, 2.083451060467427
4, -41.25,0.2651307528778397,0.022536516189575195, -2.475, -0.0, 0.0, 0.2651307528778397,0.0, 0.0, 0.0, 2.3485818133452665
5, -42.0,0.25560664807934863,0.02013111114501953, -2.52, -0.0, -0.15000000000000002, 0.25560664807934863,0.0, -0.04762052399245542, 0.0, 2.5565679374321597
6, -40.25,0.2648179506906725,0.017873048782348633, -2.415, -0.0, 0.35000000000000003, 0.2648179506906725,0.0, 0.046056513056619286, 0.8024424011794515, 2.8674424011794515
7, -23.5,0.3237031267290734,0.017835140228271484, -1.41, -0.0, 3.35, 0.3237031267290734,0.0, 0.29442588019200466, 3.4855714081005296, 1.5455714081005294
8, -21.0,0.3261325231653691,0.019554615020751953, -1.26, -0.0, 0.5, 0.3261325231653691,0.0, 0.012146982181478472, 3.063850913447377, 3.823850913447377
9, -19.75,0.33849958962947857,0.021874189376831055, -1.185, -0.0, 0.25, 0.33849958962947857,0.0, 0.061835332320547276, 3.289185835397403, 4.224185835397403
10, -19.25,0.36228255958669386,0.021834135055541992, -1.155, -0.0, 0.1, 0.36228255958669386,0.0, 0.11891484978607647, 3.6503832447701736, 4.705383244770173
11, -18.5,0.3769531360970365,0.023570775985717773, -1.1099999999999999, -0.0, 0.15000000000000002, 0.3769531360970365,0.0, 0.07335288255171324, 4.195689263418923, 5.155689263418923
12, -18.5,0.3741632292985442,0.022951364517211914, -1.1099999999999999, -0.0, 0.0, 0.3741632292985442,0.0, -0.013949533992461682, 4.405902958725006, 5.515902958725006
13, -18.5,0.3739749102548896,0.0237271785736084, -1.1099999999999999, -0.0, 0.0, 0.3739749102548896,0.0, -0.0009415952182728615, 4.778936273761623, 5.888936273761622
14, -19.25,0.3611445878967132,0.023291826248168945, -1.155, -0.0, -0.15000000000000002, 0.3611445878967132,0.0, -0.06415161179088191, 4.880929249867453, 6.185929249867454
15, -19.5,0.37376580047178143,0.024318933486938477, -1.17, -0.0, -0.05, 0.37376580047178143,0.0, 0.06310606287534104, 5.402801113214577, 6.622801113214576
16, -18.5,0.373812351714791,0.03150653839111328, -1.1099999999999999, -0.0, 0.2, 0.373812351714791,0.0, 0.00023275621504781352, 6.086846221144415, 6.996846221144415
17, -15.75,0.38967331147229367,0.03338193893432617, -0.945, -0.0, 0.55, 0.38967331147229367,0.0, 0.0793047987875134, 7.070824331404223, 7.465824331404223
18, -15.0,0.3760763429277535,0.02312922477722168, -0.8999999999999999, -0.0, 0.15000000000000002, 0.3760763429277535,0.0, -0.06798484272270089, 7.023915831609275, 7.773915831609275
19, -12.0,0.3513934519451023,0.021655559539794922, -0.72, -0.0, 0.6000000000000001, 0.3513934519451023,0.0, -0.12341445491325598, 7.881894828641122, 8.001894828641122
20, -9.75,0.3640555673642111,0.02078557014465332, -0.585, -0.0, 0.45, 0.3640555673642111,0.0, 0.06331057709554389, 8.294260973100878, 8.429260973100877
21, -8.75,0.3412122420226299,0.02319955825805664, -0.525, -0.0, 0.2, 0.3412122420226299,0.0, -0.11421662670790589, 8.331256588415602, 8.656256588415602
22, -9.25,0.36322316988649317,0.023865222930908203, -0.5549999999999999, -0.0, -0.1, 0.36322316988649317,0.0, 0.11005463931931636, 8.474534397621412, 9.129534397621411
23, -10.0,0.3312676137929257,0.022553443908691406, -0.6, -0.0, -0.15000000000000002, 0.3312676137929257,0.0, -0.15977778046783742, 8.5510242309465, 9.3010242309465
24, -11.0,0.32636654308786994,0.021282672882080078, -0.6599999999999999, -0.0, -0.2, 0.32636654308786994,0.0, -0.024505353525278717, 8.742885420509092, 9.602885420509091
25, -17.5,0.3522780917922811,0.021229028701782227, -1.05, -0.0, -1.3, 0.3522780917922811,0.0, 0.12955774352205573, 7.734721255823429, 10.084721255823428
26, -20.25,0.38730395052068156,0.02237725257873535, -1.2149999999999999, -0.0, -0.55, 0.38730395052068156,0.0, 0.17512929364200236, 8.882154499986111, 10.647154499986112
27, -22.5,0.39953392913495356,0.02204728126525879, -1.3499999999999999, -0.0, -0.45, 0.39953392913495356,0.0, 0.061149893071359984, 9.307838322192424, 11.107838322192425
28, -24.25,0.4176308021474109,0.02265644073486328, -1.4549999999999998, -0.0, -0.35000000000000003, 0.4176308021474109,0.0, 0.09048436506228663, 9.810953489402122, 11.615953489402122
29, -26.75,0.4460964727435448,0.02199697494506836, -1.605, -0.0, -0.5, 0.4460964727435448,0.0, 0.1423283529806696, 10.099378315126335, 12.204378315126336
30, -29.25,0.4743631495623608,0.022272586822509766, -1.755, -0.0, -0.5, 0.4743631495623608,0.0, 0.14133338409408003, 10.565074848782778, 12.820074848782777
31, -29.75,0.5026869967137984,0.022982358932495117, -1.785, -0.0, -0.1, 0.5026869967137984,0.0, 0.1416192357571877, 11.579381081253764, 13.464381081253764
32, -29.75,0.5044249621530974,0.031088829040527344, -1.785, -0.0, 0.0, 0.5044249621530974,0.0, 0.008689827196495248, 12.192495870603356, 13.977495870603356
