iteration, error, time, P-term, I-term, D-term, left PWM, right PWM
0, -371, 2306.0, -12.3666666667, 0, -834.75, 0, 70
1, -311, 7335.0, -10.3666666667, 0, 135.0, 70, 0
2, -329, 12451.0, -10.9666666667, 0, -40.5, 18.5333333333, 70
3, -375, 17549.0, -12.5, 0, -103.5, 0, 70
4, -217, 22639.0, -7.23333333333, 0, 355.5, 70, 0
5, -294, 27723.0, -9.8, 0, -173.25, 0, 70
6, -304, 32957.0, -10.1333333333, 0, -22.5, 37.3666666667, 70
7, -193, 37937.0, -6.43333333333, 0, 249.75, 70, 0
8, -188, 43055.0, -6.26666666667, 0, 11.25, 70, 65.0166666667
9, -16, 48151.0, -0.533333333333, 0, 387.0, 70, 0
10, -105, 53302.0, -3.5, 0, -200.25, 0, 70
11, -51, 58335.0, -1.7, 0, 121.5, 70, 0
12, -62, 63475.0, -2.06666666667, 0, -24.75, 43.1833333333, 70
13, -121, 68530.0, -4.03333333333, 0, -132.75, 0, 70
14, 15, 73658.0, 0.5, 0, 306.0, 70, 0
15, 128, 78746.0, 4.26666666667, 0, 254.25, 70, 0
16, 111, 83890.0, 3.7, 0, -38.25, 35.45, 70
17, 181, 88946.0, 6.03333333333, 0, 157.5, 70, 0
18, -125, 93831.0, -4.16666666667, 0, -688.5, 0, 70
19, -148, 98828.0, -4.93333333333, 0, -51.75, 13.3166666667, 70
20, -79, 103902.0, -2.63333333333, 0, 155.25, 70, 0
21, -78, 109007.0, -2.6, 0, 2.25, 69.65, 70
22, -178, 114074.0, -5.93333333333, 0, -225.0, 0, 70
23, -96, 119159.0, -3.2, 0, 184.5, 70, 0
24, -34, 124285.0, -1.13333333333, 0, 139.5, 70, 0
25, 11, 129332.0, 0.366666666667, 0, 101.25, 70, 0
26, -22, 134420.0, -0.733333333333, 0, -74.25, 0, 70
27, -136, 139504.0, -4.53333333333, 0, -256.5, 0, 70
28, -91, 144622.0, -3.03333333333, 0, 101.25, 70, 0
29, -146, 149674.0, -4.86666666667, 0, -123.75, 0, 70
30, -100, 154769.0, -3.33333333333, 0, 103.5, 70, 0
31, -69, 159871.0, -2.3, 0, 69.75, 70, 2.55
32, -84, 164962.0, -2.8, 0, -33.75, 33.45, 70
33, -193, 170031.0, -6.43333333333, 0, -245.25, 0, 70
34, -298, 175126.0, -9.93333333333, 0, -236.25, 0, 70
35, -272, 180222.0, -9.06666666667, 0, 58.5, 70, 20.5666666667
36, -417, 185304.0, -13.9, 0, -326.25, 0, 70
37, -413, 190405.0, -13.7666666667, 0, 9.0, 65.2333333333, 70
38, -357, 195479.0, -11.9, 0, 126.0, 70, 0
39, -275, 200554.0, -9.16666666667, 0, 184.5, 70, 0
40, -361, 205642.0, -12.0333333333, 0, -193.5, 0, 70
41, -476, 210727.0, -15.8666666667, 0, -258.75, 0, 70
42, -439, 215854.0, -14.6333333333, 0, 83.25, 70, 1.38333333333
43, -333, 220910.0, -11.1, 0, 238.5, 70, 0
44, -334, 226014.0, -11.1333333333, 0, -2.25, 56.6166666667, 70
45, -317, 231099.0, -10.5666666667, 0, 38.25, 70, 42.3166666667
46, -379, 236184.0, -12.6333333333, 0, -139.5, 0, 70
47, -414, 241264.0, -13.8, 0, -78.75, 0, 70
48, -354, 246352.0, -11.8, 0, 135.0, 70, 0
49, -290, 251433.0, -9.66666666667, 0, 144.0, 70, 0
50, -299, 256536.0, -9.96666666667, 0, -20.25, 39.7833333333, 70
51, -484, 261616.0, -16.1333333333, 0, -416.25, 0, 70
52, -402, 266700.0, -13.4, 0, 184.5, 70, 0
53, -413, 271806.0, -13.7666666667, 0, -24.75, 31.4833333333, 70
54, -457, 276878.0, -15.2333333333, 0, -99.0, 0, 70
55, -365, 281969.0, -12.1666666667, 0, 207.0, 70, 0
56, -445, 287051.0, -14.8333333333, 0, -180.0, 0, 70
57, -441, 292150.0, -14.7, 0, 9.0, 64.3, 70
58, -329, 297229.0, -10.9666666667, 0, 252.0, 70, 0
59, -428, 302313.0, -14.2666666667, 0, -222.75, 0, 70
60, -482, 307394.0, -16.0666666667, 0, -121.5, 0, 70
61, -474, 312489.0, -15.8, 0, 18.0, 70, 67.8
62, -471, 317573.0, -15.7, 0, 6.75, 61.05, 70
63, -405, 322648.0, -13.5, 0, 148.5, 70, 0
64, -409, 327750.0, -13.6333333333, 0, -9.0, 47.3666666667, 70
65, -440, 332903.0, -14.6666666667, 0, -69.75, 0, 70
66, -323, 337919.0, -10.7666666667, 0, 263.25, 70, 0
