iteration, error, time, P-term, I-term, D-term, left PWM, right PWM
0, 88, 3144.0, 1.95555555556, 0, 0, 30, 28.0444444444
1, 123, 8071.0, 2.73333333333, 0, 0, 30, 27.2666666667
2, 94, 12464.0, 2.08888888889, 0, 0, 30, 27.9111111111
3, 92, 17509.0, 2.04444444444, 0, 0, 30, 27.9555555556
4, -19, 22610.0, -0.422222222222, 0, 0, 29.5777777778, 30
5, 65, 27729.0, 1.44444444444, 0, 0, 30, 28.5555555556
6, 69, 32908.0, 1.53333333333, 0, 0, 30, 28.4666666667
7, 61, 37940.0, 1.35555555556, 0, 0, 30, 28.6444444444
8, -33, 43026.0, -0.733333333333, 0, 0, 29.2666666667, 30
9, -31, 48122.0, -0.688888888889, 0, 0, 29.3111111111, 30
10, -4, 53167.0, -0.0888888888889, 0, 0, 29.9111111111, 30
11, 40, 58291.0, 0.888888888889, 0, 0, 30, 29.1111111111
12, 249, 63403.0, 5.53333333333, 0, 0, 30, 24.4666666667
13, 218, 68599.0, 4.84444444444, 0, 0, 30, 25.1555555556
14, 197, 73685.0, 4.37777777778, 0, 0, 30, 25.6222222222
15, 117, 78726.0, 2.6, 0, 0, 30, 27.4
16, 117, 83858.0, 2.6, 0, 0, 30, 27.4
17, 254, 88899.0, 5.64444444444, 0, 0, 30, 24.3555555556
18, 91, 93957.0, 2.02222222222, 0, 0, 30, 27.9777777778
19, 186, 99085.0, 4.13333333333, 0, 0, 30, 25.8666666667
20, 63, 104176.0, 1.4, 0, 0, 30, 28.6
21, 184, 109323.0, 4.08888888889, 0, 0, 30, 25.9111111111
22, 267, 114404.0, 5.93333333333, 0, 0, 30, 24.0666666667
23, 317, 119492.0, 7.04444444444, 0, 0, 30, 22.9555555556
24, 103, 124536.0, 2.28888888889, 0, 0, 30, 27.7111111111
25, 111, 129627.0, 2.46666666667, 0, 0, 30, 27.5333333333
26, 66, 134830.0, 1.46666666667, 0, 0, 30, 28.5333333333
27, -49, 139485.0, -1.08888888889, 0, 0, 28.9111111111, 30
28, -94, 144696.0, -2.08888888889, 0, 0, 27.9111111111, 30
29, 255, 149669.0, 5.66666666667, 0, 0, 30, 24.3333333333
30, 192, 154793.0, 4.26666666667, 0, 0, 30, 25.7333333333
31, 0, 159764.0, 0.0, 0, 0, 30, 30.0
32, 0, 164968.0, 0.0, 0, 0, 30, 30.0
33, -91, 169973.0, -2.02222222222, 0, 0, 27.9777777778, 30
34, -93, 175109.0, -2.06666666667, 0, 0, 27.9333333333, 30
35, -79, 180179.0, -1.75555555556, 0, 0, 28.2444444444, 30
36, 0, 185333.0, 0.0, 0, 0, 30, 30.0
37, -10, 190334.0, -0.222222222222, 0, 0, 29.7777777778, 30
38, 49, 195457.0, 1.08888888889, 0, 0, 30, 28.9111111111
39, 67, 200504.0, 1.48888888889, 0, 0, 30, 28.5111111111
40, 30, 205616.0, 0.666666666667, 0, 0, 30, 29.3333333333
41, 174, 210705.0, 3.86666666667, 0, 0, 30, 26.1333333333
42, 110, 215798.0, 2.44444444444, 0, 0, 30, 27.5555555556
43, -231, 220903.0, -5.13333333333, 0, 0, 24.8666666667, 30
44, 60, 225953.0, 1.33333333333, 0, 0, 30, 28.6666666667
45, 54, 231023.0, 1.2, 0, 0, 30, 28.8
46, 172, 236190.0, 3.82222222222, 0, 0, 30, 26.1777777778
47, -10, 241221.0, -0.222222222222, 0, 0, 29.7777777778, 30
48, 102, 246357.0, 2.26666666667, 0, 0, 30, 27.7333333333
49, -137, 251392.0, -3.04444444444, 0, 0, 26.9555555556, 30
50, -32, 256515.0, -0.711111111111, 0, 0, 29.2888888889, 30
